CANTON,LST_MIN,LST_MAX,LST_RANGE,LST_MEAN,LST_STD,NBDI_MIN,NBDI_MAX,NBDI_RANGE,NBDI_MEAN,NBDI_STD,NDVI_MIN,NDVI_MAX,NDVI_RANGE,NDVI_MEAN,NDVI_STD
Montes de Oca,26.8457641602,47.9189529419,21.0731887817,38.2987372559,4.93232412989,-0.524031579494,0.25745216012,0.781483739614,-0.167660351641,0.147583597682,-0.0194161571562,0.83827906847,0.857695225626,0.547814294054,0.222219636218
Goicoechea,20.0443534851,47.2013473511,27.156993866,35.3090354693,5.92263046996,-0.565191924572,0.259576946497,0.824768871069,-0.195217924945,0.161081279266,-0.0268703196198,0.846685171127,0.873555490747,0.545061565542,0.187290321774
Tibás,34.0022354126,48.3705482483,14.3683128357,43.9847196816,2.5102291919,-0.474648833275,0.251185685396,0.725834518671,-0.0595789569965,0.124524417393,-0.350209951401,0.853766024113,1.20397597551,0.540858082371,0.172821790496
San Mateo,32.7552642822,40.1159477234,7.36068344116,35.2054128383,1.26929892903,-0.464698165655,0.0477043315768,0.512402497232,-0.32920829664,0.0820077551364,-0.0461557470262,0.849273264408,0.895429011434,0.534608553001,0.223776515548
Atenas,31.3182582855,57.3541984558,26.0359401703,41.3584008036,3.85582948852,-0.608162403107,0.224239766598,0.832402169704,-0.22370168328,0.106579750331,-0.619664549828,0.868364691734,1.48802924156,0.525893565303,0.191213295741
Alajuela,24.4187412262,57.3906822205,32.9719409943,42.1132720432,4.81912605994,-0.684829056263,0.271181553602,0.956010609865,-0.197141749304,0.136217107693,-0.105077691376,0.838119447231,0.943197138608,0.503714697644,0.19805458054
Moravia,22.8608970642,47.6413612366,24.7804641724,33.4086051128,6.42085947216,-0.564267754555,0.24462620914,0.808893963695,-0.222460591889,0.143910061711,-0.0550563782454,0.826540291309,0.881596669555,0.499629593731,0.202269706798
Vázquez de Coronado,19.4307880402,44.2185287476,24.7877407074,30.3444613554,4.78322202384,-0.618801832199,0.20847736299,0.827279195189,-0.254867466204,0.117691638592,-0.0539327003062,0.831697940826,0.885630641133,0.489211359171,0.245447007359
Santo Domingo,30.0613212585,52.0500602722,21.9887390137,41.0088385093,3.25302029821,-0.521653831005,0.253330379725,0.77498421073,-0.192756452083,0.133179481529,0.111889518797,0.741305053234,0.629415534437,0.479412752053,0.173614875724
Belén,34.8156547546,51.6147346497,16.799079895,44.6968171575,2.21816321215,-0.551819086075,0.311048269272,0.862867355347,-0.129217900972,0.108153790487,-0.0393565669656,0.824277579784,0.86363414675,0.475137406636,0.208048738769
San Pablo,36.824798584,48.9428901672,12.1180915833,43.0599730582,1.94919664154,-0.504195511341,0.188143700361,0.692339211702,-0.156110293179,0.149821874961,-0.0503459796309,0.803084254265,0.853430233896,0.438386072143,0.235565228701
Heredia,20.7122116089,52.4377632141,31.7255516052,44.3970592568,3.93222173474,-0.555902004242,0.311311334372,0.867213338614,-0.102660517772,0.143420522278,-0.0359127782285,0.821479022503,0.857391800731,0.425761776149,0.22142574811
Flores,35.1479911804,49.1779632568,14.0299720764,44.7505312163,1.62303021606,-0.494034290314,0.233111992478,0.727146282792,-0.130265029806,0.118278115377,-0.0383553951979,0.834298968315,0.872654363513,0.386102600608,0.193229013601
San Rafael,21.9096012115,47.571685791,25.6620845795,33.6988470653,6.84831343336,-0.59186154604,0.261930733919,0.853792279959,-0.304357150026,0.144446713018,-0.286083072424,0.79385727644,1.07994034886,0.369005844508,0.182573979759
Barva,19.7591381073,48.7083511353,28.949213028,33.1878422516,7.46445664806,-0.596392095089,0.207962438464,0.804354533553,-0.334836362361,0.142709634757,-0.0790620446205,0.807114779949,0.88617682457,0.357855349521,0.215004133787
San Isidro,22.3801517487,48.1367950439,25.7566432953,35.0888376666,6.22016482033,-0.604875028133,0.162630751729,0.767505779862,-0.24830082845,0.136058796359,-0.0723217204213,0.849329054356,0.921650774777,0.310942567784,0.218564398743
Santa Barbara,21.2035312653,50.9988479614,29.7953166962,36.3011449567,6.82045342394,-0.609475135803,0.183324530721,0.792799666524,-0.304569186805,0.127673691884,-0.0540001615882,0.769493579865,0.823493741453,0.237262008129,0.179925989324
Poás,23.5382080078,54.8251304626,31.2869224548,38.8340132156,5.35690675854,-0.582443535328,0.302584052086,0.885027587414,-0.27948603046,0.128010883036,-0.280730456114,0.778644561768,1.05937501788,0.236218708835,0.181606767869
Grecia,24.9025554657,52.4683265686,27.5657711029,40.539484691,5.17312638406,-0.528039753437,0.0734288319945,0.601468585432,-0.274236526146,0.124771032999,-0.0553067587316,0.357052057981,0.412358816713,0.174638050248,0.0981775025982
